burrough,year,age,sex,people
09,2005,33,1,220
09,2005,34,1,248
09,2005,35,1,246
09,2005,36,1,234
09,2005,37,1,215
09,2005,38,1,230
09,2005,39,1,221
09,2005,40,1,188
09,2005,41,1,169
09,2005,42,1,193
09,2005,43,1,173
09,2005,44,1,195
09,2005,45,1,173
09,2005,46,1,149
09,2005,47,1,153
09,2005,48,1,146
09,2005,49,1,148
09,2005,50,1,133
09,2005,51,1,144
09,2005,52,1,140
09,2005,53,1,143
09,2005,54,1,128
09,2005,55,1,139
09,2005,56,1,138
09,2005,57,1,139
09,2005,58,1,147
09,2005,59,1,114
09,2005,60,1,123
09,2005,61,1,103
09,2005,62,1,71
09,2005,63,1,68
09,2005,64,1,56
09,2005,65,1,80
09,2005,66,1,85
09,2005,67,1,67
09,2005,68,1,67
09,2005,69,1,55
09,2005,70,1,53
09,2005,71,1,53
09,2005,72,1,65
09,2005,73,1,58
09,2005,74,1,71
09,2005,75,1,76
09,2005,76,1,62
09,2005,77,1,77
09,2005,78,1,77
09,2005,79,1,79
09,2005,80,1,74
09,2005,81,1,60
09,2005,82,1,73
09,2005,83,1,51
09,2005,84,1,49
09,2005,85,1,35
09,2005,86,1,24
09,2005,87,1,19
09,2005,88,1,18
09,2005,89,1,14
09,2005,90,1,10
09,2005,91,1,10
09,2005,92,1,6
09,2005,93,1,5
09,2005,94,1,4
09,2005,95,1,2
09,2005,96,1,4
09,2005,97,1,1
09,2005,98,1,1
09,2005,99,1,0
10,2005,0,1,183
10,2005,1,1,189
10,2005,2,1,194
10,2005,3,1,170
10,2005,4,1,173
10,2005,5,1,177
10,2005,6,1,179
10,2005,7,1,157
10,2005,8,1,160
10,2005,9,1,178
10,2005,10,1,165
10,2005,11,1,146
10,2005,12,1,139
10,2005,13,1,166
10,2005,14,1,135
10,2005,15,1,146
10,2005,16,1,122
10,2005,17,1,127
10,2005,18,1,125
10,2005,19,1,123
10,2005,20,1,137
10,2005,21,1,134
10,2005,22,1,138
10,2005,23,1,135
10,2005,24,1,145
10,2005,25,1,146
10,2005,26,1,140
10,2005,27,1,172
10,2005,28,1,190
10,2005,29,1,215
10,2005,30,1,214
10,2005,31,1,214
10,2005,32,1,183
10,2005,33,1,232
10,2005,34,1,227
10,2005,35,1,233
10,2005,36,1,255
10,2005,37,1,242
10,2005,38,1,187
10,2005,39,1,206
10,2005,40,1,205
10,2005,41,1,222
10,2005,42,1,198
10,2005,43,1,185
10,2005,44,1,204
10,2005,45,1,192
10,2005,46,1,169
10,2005,47,1,155
10,2005,48,1,155
10,2005,49,1,149
10,2005,50,1,152
10,2005,51,1,136
10,2005,52,1,133
10,2005,53,1,128
10,2005,54,1,130
10,2005,55,1,123
10,2005,56,1,138
10,2005,57,1,131
10,2005,58,1,142
10,2005,59,1,124
10,2005,60,1,122
10,2005,61,1,119
10,2005,62,1,110
10,2005,63,1,89
10,2005,64,1,87
10,2005,65,1,80
10,2005,66,1,78
10,2005,67,1,73
10,2005,68,1,82
10,2005,69,1,66
10,2005,70,1,66
10,2005,71,1,65
10,2005,72,1,71
10,2005,73,1,72
10,2005,74,1,82
10,2005,75,1,57
10,2005,76,1,70
10,2005,77,1,50
10,2005,78,1,45
10,2005,79,1,53
10,2005,80,1,64
10,2005,81,1,50
10,2005,82,1,52
10,2005,83,1,34
10,2005,84,1,31
10,2005,85,1,28
10,2005,86,1,27
10,2005,87,1,16
10,2005,88,1,16
10,2005,89,1,5
10,2005,90,1,7
10,2005,91,1,8
10,2005,92,1,5
10,2005,93,1,4
10,2005,94,1,2
10,2005,95,1,1
10,2005,96,1,1
10,2005,97,1,0
10,2005,98,1,0
10,2005,99,1,1
11,2005,0,1,214
11,2005,1,1,225
11,2005,2,1,214
11,2005,3,1,226
11,2005,4,1,213
11,2005,5,1,209
11,2005,6,1,197
11,2005,7,1,182
11,2005,8,1,199
11,2005,9,1,194
11,2005,10,1,202
11,2005,11,1,180
11,2005,12,1,190
11,2005,13,1,182
11,2005,14,1,203
11,2005,15,1,189
11,2005,16,1,172
11,2005,17,1,186
11,2005,18,1,159
11,2005,19,1,185
11,2005,20,1,158
11,2005,21,1,160
11,2005,22,1,178
11,2005,23,1,154
11,2005,24,1,163
11,2005,25,1,154
11,2005,26,1,183
11,2005,27,1,175
11,2005,28,1,182
11,2005,29,1,194
11,2005,30,1,200
11,2005,31,1,189
11,2005,32,1,192
11,2005,33,1,215
11,2005,34,1,265
11,2005,35,1,239
11,2005,36,1,243
11,2005,37,1,215
11,2005,38,1,254
11,2005,39,1,224
11,2005,40,1,220
11,2005,41,1,212
11,2005,42,1,224
11,2005,43,1,207
11,2005,44,1,207
11,2005,45,1,197
11,2005,46,1,199
11,2005,47,1,167
11,2005,48,1,179
11,2005,49,1,167
11,2005,50,1,177
11,2005,51,1,172
11,2005,52,1,177
11,2005,53,1,165
11,2005,54,1,175
11,2005,55,1,175
11,2005,56,1,194
11,2005,57,1,200
11,2005,58,1,210
11,2005,59,1,205
11,2005,60,1,206
11,2005,61,1,168
11,2005,62,1,161
11,2005,63,1,137
11,2005,64,1,144
11,2005,65,1,135
11,2005,66,1,128
11,2005,67,1,119
11,2005,68,1,97
11,2005,69,1,89
11,2005,70,1,84
11,2005,71,1,76
11,2005,72,1,85
11,2005,73,1,77
11,2005,74,1,75
11,2005,75,1,81
11,2005,76,1,67
11,2005,77,1,60
11,2005,78,1,56
11,2005,79,1,42
11,2005,80,1,53
11,2005,81,1,47
11,2005,82,1,37
11,2005,83,1,26
11,2005,84,1,38
11,2005,85,1,16
11,2005,86,1,15
11,2005,87,1,10
11,2005,88,1,4
11,2005,89,1,6
11,2005,90,1,8
11,2005,91,1,4
11,2005,92,1,2
11,2005,93,1,0
11,2005,94,1,0
11,2005,95,1,0
11,2005,96,1,0
11,2005,97,1,0
11,2005,98,1,0
11,2005,99,1,1
12,2005,0,1,348
12,2005,1,1,346
12,2005,2,1,313
12,2005,3,1,302
12,2005,4,1,294
12,2005,5,1,324
12,2005,6,1,256
12,2005,7,1,295
12,2005,8,1,249
12,2005,9,1,258
12,2005,10,1,263
12,2005,11,1,231
12,2005,12,1,275
12,2005,13,1,257
12,2005,14,1,266
12,2005,15,1,254
12,2005,16,1,284
12,2005,17,1,272
12,2005,18,1,255
12,2005,19,1,250
12,2005,20,1,238
12,2005,21,1,230
12,2005,22,1,242
12,2005,23,1,270
12,2005,24,1,288
12,2005,25,1,308
12,2005,26,1,320
12,2005,27,1,327
12,2005,28,1,389
12,2005,29,1,412
12,2005,30,1,403
12,2005,31,1,421
12,2005,32,1,373
12,2005,33,1,414
12,2005,34,1,384
12,2005,35,1,378
12,2005,36,1,362
12,2005,37,1,353
12,2005,38,1,367
12,2005,39,1,377
12,2005,40,1,339
12,2005,41,1,341
12,2005,42,1,342
12,2005,43,1,298
12,2005,44,1,291
12,2005,45,1,318
12,2005,46,1,268
12,2005,47,1,259
12,2005,48,1,280
12,2005,49,1,282
12,2005,50,1,259
12,2005,51,1,256
12,2005,52,1,252
12,2005,53,1,299
12,2005,54,1,281
12,2005,55,1,322
12,2005,56,1,280
12,2005,57,1,298
12,2005,58,1,312
12,2005,59,1,256
12,2005,60,1,248
12,2005,61,1,221
12,2005,62,1,199
12,2005,63,1,179
12,2005,64,1,175
12,2005,65,1,144
12,2005,66,1,145
12,2005,67,1,121
12,2005,68,1,140
12,2005,69,1,114
12,2005,70,1,103
12,2005,71,1,106
12,2005,72,1,110
12,2005,73,1,124
12,2005,74,1,120
12,2005,75,1,89
12,2005,76,1,103
12,2005,77,1,91
12,2005,78,1,93
12,2005,79,1,90
12,2005,80,1,63
12,2005,81,1,66
12,2005,82,1,71
12,2005,83,1,49
12,2005,84,1,65
12,2005,85,1,36
12,2005,86,1,25
12,2005,87,1,22
12,2005,88,1,23
12,2005,89,1,12
12,2005,90,1,11
12,2005,91,1,9
12,2005,92,1,11
12,2005,93,1,6
12,2005,94,1,3
12,2005,95,1,4
12,2005,96,1,4
12,2005,97,1,1
12,2005,98,1,0
12,2005,99,1,1
13,2005,0,1,347
13,2005,1,1,294
13,2005,2,1,236
13,2005,3,1,285
13,2005,4,1,262
13,2005,5,1,273
13,2005,6,1,256
13,2005,7,1,247
13,2005,8,1,270
13,2005,9,1,250
13,2005,10,1,288
13,2005,11,1,246
13,2005,12,1,258
13,2005,13,1,245
13,2005,14,1,266
13,2005,15,1,257
13,2005,16,1,208
13,2005,17,1,205
13,2005,18,1,235
13,2005,19,1,193
13,2005,20,1,160
13,2005,21,1,188
13,2005,22,1,165
13,2005,23,1,185
13,2005,24,1,202
13,2005,25,1,191
13,2005,26,1,222
13,2005,27,1,245
13,2005,28,1,281
13,2005,29,1,318
13,2005,30,1,319
13,2005,31,1,347
13,2005,32,1,349
13,2005,33,1,375
13,2005,34,1,362
13,2005,35,1,355
13,2005,36,1,363
13,2005,37,1,351
13,2005,38,1,342
13,2005,39,1,344
13,2005,40,1,340
13,2005,41,1,325
13,2005,42,1,302
13,2005,43,1,308
13,2005,44,1,361
13,2005,45,1,299
13,2005,46,1,300
13,2005,47,1,294
13,2005,48,1,255
13,2005,49,1,262
13,2005,50,1,260
13,2005,51,1,230
13,2005,52,1,216
13,2005,53,1,212
13,2005,54,1,193
13,2005,55,1,189
13,2005,56,1,211
13,2005,57,1,207
13,2005,58,1,258
13,2005,59,1,191
13,2005,60,1,214
13,2005,61,1,174
13,2005,62,1,149
13,2005,63,1,129
13,2005,64,1,123
13,2005,65,1,132
13,2005,66,1,133
